iter	Passed	Remaining
438	1359	7620
439	1362	7616
440	1366	7614
441	1369	7610
442	1372	7607
443	1375	7605
444	1378	7602
445	1381	7600
446	1384	7597
447	1388	7593
448	1391	7590
449	1394	7587
450	1397	7583
451	1400	7580
452	1403	7577
453	1406	7575
454	1409	7571
455	1412	7567
456	1415	7563
457	1418	7560
458	1421	7556
459	1424	7552
460	1427	7548
461	1430	7545
462	1433	7542
463	1436	7539
464	1440	7537
465	1443	7535
466	1446	7532
467	1449	7528
468	1452	7525
469	1455	7523
470	1458	7520
471	1462	7517
472	1465	7515
473	1468	7512
474	1471	7509
475	1474	7506
476	1477	7503
477	1481	7501
478	1484	7498
479	1487	7495
480	1490	7492
481	1493	7489
482	1496	7486
483	1499	7483
484	1503	7480
485	1505	7476
486	1508	7471
487	1511	7465
488	1513	7458
489	1515	7451
490	1518	7446
491	1520	7441
492	1523	7436
493	1526	7430
494	1528	7424
495	1531	7420
496	1534	7415
497	1537	7411
498	1540	7408
499	1543	7404
500	1546	7402
501	1549	7398
502	1552	7393
503	1555	7389
504	1558	7387
505	1561	7384
506	1564	7381
507	1567	7378
508	1570	7374
509	1573	7371
510	1578	7377
511	1583	7384
512	1589	7392
513	1594	7399
514	1599	7405
515	1605	7412
516	1610	7418
517	1615	7425
518	1620	7432
519	1626	7439
520	1631	7446
521	1636	7453
522	1642	7459
523	1647	7466
524	1652	7473
525	1657	7479
526	1663	7485
527	1668	7491
528	1673	7497
529	1678	7503
530	1684	7509
531	1689	7515
532	1694	7521
533	1699	7527
534	1704	7532
535	1709	7537
536	1714	7540
537	1719	7546
538	1724	7549
539	1729	7554
540	1734	7560
541	1739	7566
542	1746	7577
543	1751	7582
544	1757	7588
545	1762	7594
546	1767	7599
547	1772	7604
548	1777	7609
549	1783	7615
550	1788	7620
551	1793	7625
552	1798	7630
553	1803	7635
554	1809	7641
555	1814	7645
556	1819	7650
557	1824	7652
558	1829	7657
559	1834	7662
560	1839	7667
561	1845	7672
562	1850	7677
563	1855	7682
564	1860	7687
565	1865	7689
566	1870	7694
567	1875	7698
568	1881	7705
569	1888	7715
570	1894	7724
571	1899	7729
572	1905	7733
573	1910	7737
574	1915	7742
575	1920	7746
576	1926	7750
577	1931	7755
578	1936	7759
579	1941	7764
580	1944	7759
581	1947	7754
582	1951	7750
583	1953	7745
584	1957	7741
585	1960	7737
586	1963	7733
587	1966	7728
588	1969	7724
589	1972	7720
590	1976	7717
591	1979	7713
592	1982	7709
593	1985	7705
594	1989	7701
595	1992	7698
596	1995	7693
597	1998	7689
598	2001	7684
599	2004	7679
600	2007	7675
601	2010	7671
602	2013	7668
603	2017	7664
604	2020	7661
605	2023	7658
606	2027	7656
607	2030	7652
608	2034	7649
609	2037	7645
610	2040	7641
611	2043	7636
612	2046	7630
613	2049	7626
614	2052	7622
615	2055	7618
616	2059	7615
617	2062	7611
618	2065	7607
619	2068	7604
620	2072	7600
621	2075	7596
622	2078	7592
623	2081	7588
624	2084	7584
625	2088	7581
626	2091	7577
627	2094	7573
628	2097	7569
629	2100	7564
630	2103	7561
631	2106	7556
632	2109	7552
633	2113	7549
634	2116	7545
635	2119	7542
636	2122	7537
637	2125	7533
638	2129	7529
639	2132	7525
640	2135	7520
641	2138	7516
642	2141	7512
643	2144	7508
644	2147	7504
645	2150	7500
646	2153	7496
647	2156	7492
648	2159	7487
649	2162	7483
650	2166	7481
651	2170	7478
652	2173	7475
653	2176	7470
654	2179	7465
655	2182	7462
656	2185	7458
657	2188	7453
658	2191	7450
659	2194	7445
660	2197	7441
661	2201	7438
662	2204	7433
663	2207	7429
664	2210	7426
665	2213	7422
666	2216	7417
667	2219	7412
668	2222	7407
669	2225	7403
670	2228	7399
671	2231	7395
672	2234	7391
673	2238	7388
674	2241	7385
675	2244	7381
676	2247	7377
677	2251	7373
678	2254	7370
679	2257	7366
680	2260	7362
681	2263	7358
682	2266	7354
683	2270	7350
684	2273	7347
685	2276	7343
686	2279	7339
687	2282	7336
688	2286	7332
689	2289	7328
690	2292	7324
691	2295	7321
692	2298	7317
693	2301	7313
694	2305	7309
695	2308	7306
696	2311	7302
697	2314	7297
698	2316	7291
699	2319	7286
700	2322	7280
701	2324	7275
702	2327	7269
703	2329	7263
704	2332	7258
705	2335	7253
706	2337	7248
707	2341	7244
708	2344	7240
709	2347	7236
710	2350	7233
711	2353	7229
712	2356	7225
713	2360	7222
714	2363	7218
715	2366	7214
716	2369	7211
717	2372	7207
718	2375	7203
719	2379	7200
720	2382	7196
721	2385	7192
722	2388	7188
723	2391	7184
724	2394	7180
725	2397	7176
726	2400	7171
727	2403	7166
728	2406	7162
729	2409	7158
730	2412	7154
731	2415	7150
732	2418	7146
733	2421	7142
734	2424	7139
735	2428	7135
736	2431	7132
737	2434	7129
738	2437	7125
739	2440	7121
740	2443	7117
741	2447	7113
742	2450	7110
743	2453	7106
744	2456	7103
745	2459	7098
746	2462	7093
747	2465	7090
748	2469	7088
749	2473	7086
750	2476	7083
751	2479	7079
752	2482	7075
753	2485	7071
754	2488	7067
755	2492	7064
756	2495	7060
757	2498	7057
758	2501	7053
759	2504	7049
760	2508	7046
761	2511	7042
762	2513	7037
763	2517	7034
764	2520	7029
765	2523	7026
766	2526	7022
767	2529	7019
768	2532	7015
769	2535	7011
770	2538	7007
771	2541	7003
772	2545	6999
773	2548	6996
774	2551	6992
775	2554	6988
776	2557	6985
777	2561	6981
778	2564	6978
779	2567	6975
780	2570	6971
781	2573	6967
782	2577	6964
783	2580	6960
784	2583	6956
785	2586	6951
786	2589	6948
787	2592	6945
788	2595	6941
789	2599	6938
790	2602	6934
791	2605	6931
792	2608	6927
793	2611	6923
794	2615	6921
795	2618	6919
796	2622	6915
797	2625	6911
798	2628	6908
799	2631	6904
800	2634	6901
801	2638	6897
802	2641	6894
803	2644	6890
804	2647	6887
805	2650	6883
806	2653	6879
807	2656	6875
808	2659	6871
809	2663	6868
810	2666	6864
811	2669	6861
812	2672	6857
813	2676	6854
814	2679	6850
815	2682	6847
816	2685	6844
817	2689	6841
818	2692	6837
819	2695	6833
820	2698	6830
821	2701	6826
822	2705	6823
823	2708	6820
824	2711	6816
825	2714	6812
826	2717	6809
827	2720	6805
828	2724	6802
829	2727	6797
830	2730	6794
831	2733	6790
832	2736	6787
833	2739	6783
834	2742	6779
835	2745	6775
836	2748	6771
837	2751	6768
838	2755	6764
839	2758	6761
840	2761	6757
841	2764	6753
842	2767	6749
843	2770	6745
844	2773	6741
845	2776	6738
846	2779	6734
847	2782	6730
848	2785	6726
849	2788	6722
850	2792	6719
