iter	RMSE
0	14.74065524
1	14.26954954
2	13.82285394
3	13.40699799
4	13.00731272
5	12.60545771
6	12.21005583
7	11.83324188
8	11.46867737
9	11.13068982
10	10.79076281
11	10.4636551
12	10.14986945
13	9.839089678
14	9.535792425
15	9.247291654
16	8.981578584
17	8.713942206
18	8.456197185
19	8.208284086
20	7.963080156
21	7.731214334
22	7.50322659
23	7.287045757
24	7.077647869
25	6.873897905
26	6.679534968
27	6.500958296
28	6.316777869
29	6.141895067
30	5.969065541
31	5.807436738
32	5.649034846
33	5.496260434
34	5.352574611
35	5.208945439
36	5.074400927
37	4.946484898
38	4.820143728
39	4.695764291
40	4.580592685
41	4.47004919
42	4.36209617
43	4.262362729
44	4.162591029
45	4.068391915
46	3.976108253
47	3.88778375
48	3.802173476
49	3.721439777
50	3.641918157
51	3.571937193
52	3.502492768
53	3.435218668
54	3.372399305
55	3.310435779
56	3.24909899
57	3.190446072
58	3.134925829
59	3.085719421
60	3.034447859
61	2.986891836
62	2.940771841
63	2.898885358
64	2.857547545
65	2.816292908
66	2.779656652
67	2.743337569
68	2.708880449
69	2.676754735
70	2.644647897
71	2.613979297
72	2.584236818
73	2.556910916
74	2.530555007
75	2.506237709
76	2.482032878
77	2.459842802
78	2.439929394
79	2.41912647
80	2.400560493
81	2.380808189
82	2.363038103
83	2.346608249
84	2.331504938
85	2.315623291
86	2.300201844
87	2.285913794
88	2.273270813
89	2.259747538
90	2.247289996
91	2.235877587
92	2.224262062
93	2.2133269
94	2.203332835
95	2.19468095
96	2.18592127
97	2.178126236
98	2.169634754
99	2.1616608
100	2.154907271
101	2.147225161
102	2.140426336
103	2.1342188
104	2.12673067
105	2.120125732
106	2.11342535
107	2.107848189
108	2.101445311
109	2.096918894
110	2.090950887
111	2.085678051
112	2.081027765
113	2.076858561
114	2.07150567
115	2.066469769
116	2.061925999
117	2.057122077
118	2.053418169
119	2.048883184
120	2.045446052
121	2.042309316
122	2.038315604
123	2.034622314
124	2.030976759
125	2.027373305
126	2.024854833
127	2.022080499
128	2.019907204
129	2.016305865
130	2.013788947
131	2.011145295
132	2.008550616
133	2.006112411
134	2.003987095
135	2.000782278
136	1.99844386
137	1.996402144
138	1.99339823
139	1.991695297
140	1.989096568
141	1.986945149
142	1.98537587
143	1.983371655
144	1.980621475
145	1.97878574
146	1.976725214
147	1.975173091
148	1.973057369
149	1.971834804
150	1.970634431
151	1.968450289
152	1.967365938
153	1.966228774
154	1.965179256
155	1.962616671
156	1.960875166
157	1.959891602
158	1.958570096
159	1.957551849
160	1.956560372
161	1.954578245
162	1.951858592
163	1.950301062
164	1.949156696
165	1.947307495
166	1.945862748
167	1.944351632
168	1.943645177
169	1.941894467
170	1.940899971
171	1.939141315
172	1.937830175
173	1.937643519
174	1.935608393
175	1.934598872
176	1.933124563
177	1.932967309
178	1.932177857
179	1.931241457
180	1.931034774
181	1.930076473
182	1.928382693
183	1.927316257
184	1.926529436
185	1.924666514
186	1.924369649
187	1.924165924
188	1.922403898
189	1.921968009
190	1.920748071
191	1.919270185
192	1.919160957
193	1.919004377
194	1.918902197
195	1.918805608
196	1.917432968
197	1.916684732
198	1.915860551
199	1.914551763
200	1.912916923
201	1.912726783
202	1.912643074
203	1.911896754
204	1.911658213
205	1.91152868
206	1.911453063
207	1.910980405
208	1.910423261
209	1.909351152
210	1.909228141
211	1.908454889
212	1.907945614
213	1.907496501
214	1.906892241
215	1.906452524
216	1.904587511
217	1.90359538
218	1.902629889
219	1.90243597
220	1.90175544
221	1.901639066
222	1.901542164
223	1.901507157
224	1.900155994
225	1.899644353
226	1.898016259
227	1.897984227
228	1.897916414
229	1.896786364
230	1.896701031
231	1.895884656
232	1.8958545
233	1.895784558
234	1.895695215
235	1.895669162
236	1.895052349
237	1.895026145
238	1.894934572
239	1.893879206
240	1.892473239
241	1.892450546
242	1.892424803
243	1.892405158
244	1.891538044
245	1.890820374
246	1.890127283
247	1.889767327
248	1.889749927
249	1.889075484
250	1.889057723
251	1.888053877
252	1.888003408
253	1.887123675
254	1.885462917
255	1.885450246
256	1.884770918
257	1.884031935
258	1.883403615
259	1.882637649
260	1.882623106
261	1.882609918
262	1.881966147
263	1.881953382
264	1.881227704
265	1.881215291
266	1.879888523
267	1.879312164
268	1.87924332
269	1.879165975
270	1.878356769
271	1.878346623
272	1.877976405
273	1.876878397
274	1.876701125
275	1.875248429
276	1.875190816
277	1.87518237
278	1.87517643
279	1.873923166
280	1.872749399
281	1.872741516
282	1.872733705
283	1.872725392
284	1.872404236
285	1.872398072
286	1.871341902
287	1.87126674
288	1.871260285
289	1.871253831
290	1.871249025
291	1.871244077
292	1.871239558
293	1.870855092
294	1.870850645
295	1.87042025
296	1.870306805
297	1.870301567
298	1.870297764
299	1.870294176
300	1.869377751
301	1.868845835
302	1.868429416
303	1.868425034
304	1.868421586
305	1.868418426
306	1.86730107
307	1.866205051
308	1.866202031
309	1.865334535
310	1.864816867
311	1.864814348
312	1.863558652
313	1.86355606
314	1.863553683
315	1.863091132
316	1.862709884
317	1.86270765
318	1.862158982
319	1.861610153
320	1.861607413
321	1.861604746
322	1.861601934
323	1.860982772
324	1.860980176
325	1.859916583
326	1.858962411
327	1.858960029
328	1.85895844
329	1.858571434
330	1.858130756
331	1.857654645
332	1.856873937
333	1.856586906
334	1.855905111
335	1.855903665
336	1.855383944
337	1.854035144
338	1.854033552
339	1.853548569
340	1.853474931
341	1.853473482
342	1.852918893
343	1.852625164
344	1.852623571
345	1.852622122
346	1.852552938
347	1.851437751
348	1.850179142
349	1.850177836
350	1.849725508
351	1.848651811
352	1.848349998
353	1.848104344
354	1.848102673
355	1.848101366
356	1.847758499
357	1.846911189
358	1.846880887
359	1.846849567
360	1.846022924
361	1.844897751
362	1.844896951
363	1.844895714
364	1.844894405
365	1.843781354
366	1.84378019
367	1.842623275
368	1.84262211
369	1.84262109
370	1.842593194
371	1.841732723
372	1.839602438
373	1.839573694
374	1.839528752
375	1.839527731
376	1.839484466
377	1.838183943
378	1.838183213
379	1.838182556
380	1.838181825
381	1.838181241
382	1.837784383
383	1.837783799
